id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +name","#country +code +iso2","#adm1 +name","#adm1 +code +iso","#adm1 +code +local","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
4528,LTBA,large_airport,"İstanbul Atatürk Airport",40.971913,28.823714,163,EU,Turkey,TR,"İstanbul Province",TR-34,34,"Bakırköy, Istanbul",1,LTBA,ISL,,http://www.ataturkairport.com/eng/,https://en.wikipedia.org/wiki/Istanbul_Atat%C3%BCrk_Airport,"Ataturk, Yeşilköy, Yesilkoy",1015875,2022-02-24T10:29:57+00:00
4515,LTAI,large_airport,"Antalya International Airport",36.898701,30.800501,177,AS,Turkey,TR,"Antalya Province",TR-07,07,Antalya,1,LTAI,AYT,,http://www.antalya.dhmi.gov.tr/havaalanlari/default.aspx?hv=4,https://en.wikipedia.org/wiki/Antalya_Airport,,51150,2016-05-20T02:42:02+00:00
4569,LTFJ,large_airport,"Istanbul Sabiha Gökçen International Airport",40.898602,29.3092,312,AS,Turkey,TR,"İstanbul Province",TR-34,34,"Pendik, Istanbul",1,LTFJ,SAW,,http://www.sgairport.com/,https://en.wikipedia.org/wiki/Istanbul_Sabiha_G%C3%B6k%C3%A7en_International_Airport,"Sabiha Gökçen Havalimanı",1275,2021-01-10T01:47:24+00:00
317457,LTFM,large_airport,"İstanbul Airport",41.261297,28.741951,325,EU,Turkey,TR,"İstanbul Province",TR-34,34,"Arnavutköy, Istanbul",1,LTFM,IST,,http://www.igairport.com/en,https://en.wikipedia.org/wiki/Istanbul_Airport,,1000,2022-02-24T10:22:37+00:00
4533,LTBJ,large_airport,"Adnan Menderes International Airport",38.2924,27.157,412,AS,Turkey,TR,"İzmir Province",TR-35,35,İzmir,1,LTBJ,ADB,,http://www.adnanmenderesairport.com,https://en.wikipedia.org/wiki/Adnan_Menderes_Airport,,1275,2021-10-07T10:42:10+00:00
4509,LTAC,large_airport,"Esenboğa International Airport",40.128101348899996,32.995098114,3125,AS,Turkey,TR,"Ankara Province",TR-06,06,Ankara,1,LTAC,ESB,,,https://en.wikipedia.org/wiki/Esenbo%C4%9Fa_International_Airport,,1675,2010-08-29T21:15:57+00:00
4542,LTBS,large_airport,"Dalaman International Airport",36.7131004333,28.7924995422,20,AS,Turkey,TR,"Muğla Province",TR-48,48,Dalaman,1,LTBS,DLM,,,https://en.wikipedia.org/wiki/Dalaman_Airport,,1000,2010-12-14T17:42:24+00:00
4567,LTFE,large_airport,"Milas Bodrum International Airport",37.25059890749999,27.6643009186,21,AS,Turkey,TR,"Muğla Province",TR-48,48,Bodrum,1,LTFE,BJV,,,https://en.wikipedia.org/wiki/Milas-Bodrum_Airport,,1275,2010-12-14T17:33:32+00:00
4512,LTAF,medium_airport,"Adana Şakirpaşa Airport",36.982201,35.280399,65,AS,Turkey,TR,"Adana Province",TR-01,01,Seyhan,1,LTAF,ADA,,,https://en.wikipedia.org/wiki/Adana_%C5%9Eakirpa%C5%9Fa_Airport,"Şakirpaşa, Sakirpasa",750,2021-11-20T16:12:09+00:00
4523,LTAU,medium_airport,"Kayseri Erkilet Airport",38.770401001,35.4953994751,3463,AS,Turkey,TR,"Kayseri Province",TR-38,38,Kayseri,1,LTAU,ASR,,,https://en.wikipedia.org/wiki/Erkilet_Airport,,750,2010-12-14T17:31:24+00:00
